"Excluded","Level","Term","est","se","ci.lb","ci.ub","QE","QM"
"10.1002/ece3.10099-LOC-A","study","intrcpt",-4.08125946842568,4.04142491174034,-12.0024522954368,3.83993335858539,13778.3420452009,102.116607193311
"10.1002/ece3.10099-LOC-A","study","dt",-7.82028669936927,1.21191888359796,-10.1956477112213,-5.44492568751728,13778.3420452009,102.116607193311
"10.1002/ece3.10099-LOC-A","study","dph",66.5917987402205,9.2097007174618,48.5407853339954,84.6428121464456,13778.3420452009,102.116607193311
"10.1002/ece3.10099-LOC-A","study","dt:dph",-5.48266595069547,3.68290652532216,-12.7011627403269,1.73583083893597,13778.3420452009,102.116607193311
"10.1002/ece3.10099-LOC-B","study","intrcpt",-4.11922052337159,4.0371703201007,-12.032074350769,3.79363330402578,13826.2524676487,102.273025808804
"10.1002/ece3.10099-LOC-B","study","dt",-7.8167997594574,1.21075957957121,-10.189888535417,-5.44371098349782,13826.2524676487,102.273025808804
"10.1002/ece3.10099-LOC-B","study","dph",66.536861704641,9.19857021911362,48.5076640751783,84.5660593341037,13826.2524676487,102.273025808804
"10.1002/ece3.10099-LOC-B","study","dt:dph",-5.46173079279671,3.67915590380553,-12.6728763642556,1.74941477866213,13826.2524676487,102.273025808804
"10.1002/lno.10952","study","intrcpt",-4.10606240767287,3.99150953419608,-11.9294210946972,3.71729627935145,13792.5108368899,100.514966609523
"10.1002/lno.10952","study","dt",-7.47674568984265,1.21567909026268,-9.85947670675751,-5.09401467292779,13792.5108368899,100.514966609523
"10.1002/lno.10952","study","dph",65.6796437202637,9.1249595407058,47.7947230204803,83.564564420047,13792.5108368899,100.514966609523
"10.1002/lno.10952","study","dt:dph",-4.91908481985119,3.66627628366876,-12.104986335842,2.26681669613957,13792.5108368899,100.514966609523
"10.1002/lno.11863","study","intrcpt",-5.80666403979165,4.16676689857442,-13.9735271609975,2.36019908141422,13427.0596216984,74.5858061206391
"10.1002/lno.11863","study","dt",-6.94970681901264,1.2610872202522,-9.42143777070695,-4.47797586731834,13427.0596216984,74.5858061206391
"10.1002/lno.11863","study","dph",62.9934011437603,9.88504138772749,43.6187200238144,82.3680822637062,13427.0596216984,74.5858061206391
"10.1002/lno.11863","study","dt:dph",-3.23829763619367,4.51823360462598,-12.0940355012606,5.61744022887324,13427.0596216984,74.5858061206391
"10.1007/s00227-012-2165-5","study","intrcpt",-3.9481645530432,4.04200935424394,-11.8705028873613,3.97417378127493,13837.3065272855,103.090213243129
"10.1007/s00227-012-2165-5","study","dt",-7.8654246006168,1.21110888074641,-10.2391980068798,-5.49165119435384,13837.3065272855,103.090213243129
"10.1007/s00227-012-2165-5","study","dph",67.2641369535599,9.21979833317203,49.1933322205427,85.3349416865771,13837.3065272855,103.090213243129
"10.1007/s00227-012-2165-5","study","dt:dph",-5.675766102158,3.68077872735657,-12.8900924077769,1.53856020346088,13837.3065272855,103.090213243129
"10.1007/s00227-016-2909-8","study","intrcpt",-3.94561700260394,4.03157332571842,-11.847500721012,3.95626671580415,13838.2603687595,103.820266591095
"10.1007/s00227-016-2909-8","study","dt",-7.9716011580836,1.21070612394322,-10.3445851610123,-5.59861715515488,13838.2603687595,103.820266591095
"10.1007/s00227-016-2909-8","study","dph",66.5312932669815,9.13849699993375,48.6198391471113,84.4427473868516,13838.2603687595,103.820266591095
"10.1007/s00227-016-2909-8","study","dt:dph",-5.57143671840821,3.66504645438027,-12.7549277689935,1.61205433217712,13838.2603687595,103.820266591095
"10.1007/s00227-016-2986-8","study","intrcpt",-4.10209869297644,4.04457121851004,-12.0294582812561,3.82526089530323,13808.9038714593,101.076620741621
"10.1007/s00227-016-2986-8","study","dt",-7.87666879544445,1.21537046134906,-10.2587948996886,-5.49454269120029,13808.9038714593,101.076620741621
"10.1007/s00227-016-2986-8","study","dph",66.1183706757526,9.19615120514774,48.093914313663,84.1428270378421,13808.9038714593,101.076620741621
"10.1007/s00227-016-2986-8","study","dt:dph",-5.41821428209745,3.6924734690994,-12.6554622815323,1.81903371733736,13808.9038714593,101.076620741621
"10.1007/s00227-022-04071-6","study","intrcpt",-4.25852720849329,4.00803027506821,-12.114266547627,3.59721213064041,13819.2841583834,103.47771730135
"10.1007/s00227-022-04071-6","study","dt",-7.93905168945291,1.20686730281421,-10.3045116029688,-5.57359177593707,13819.2841583834,103.47771730135
"10.1007/s00227-022-04071-6","study","dph",66.3261101169797,9.12846952231007,48.4343098532519,84.2179103807074,13819.2841583834,103.47771730135
"10.1007/s00227-022-04071-6","study","dt:dph",-5.58558590833441,3.66046760894849,-12.7601024218735,1.58893060520463,13819.2841583834,103.47771730135
"10.1007/s00338-008-0380-9","study","intrcpt",-3.87420260388639,4.02640577718718,-11.7659579271733,4.01755271940048,13841.9481711076,103.44493023165
"10.1007/s00338-008-0380-9","study","dt",-7.84925360502664,1.2060836555958,-10.2131775699944,-5.48532964005888,13841.9481711076,103.44493023165
"10.1007/s00338-008-0380-9","study","dph",66.5416577375542,9.12996349045275,48.6469292962668,84.4363861788416,13841.9481711076,103.44493023165
"10.1007/s00338-008-0380-9","study","dt:dph",-5.49640457140226,3.65903571967214,-12.6681145819597,1.67530543915513,13841.9481711076,103.44493023165
"10.1007/s00338-011-0786-7","study","intrcpt",-3.91008963518954,4.0399099812995,-11.8283131985366,4.00813392815747,13834.654618516,103.386247796434
"10.1007/s00338-011-0786-7","study","dt",-7.86836848308279,1.21005172182495,-10.2400698578597,-5.49666710830589,13834.654618516,103.386247796434
"10.1007/s00338-011-0786-7","study","dph",67.1615432665303,9.18582553428876,49.1573252193243,85.1657613137363,13834.654618516,103.386247796434
"10.1007/s00338-011-0786-7","study","dt:dph",-5.65098187544516,3.67426366377755,-12.8525386564492,1.55057490555883,13834.654618516,103.386247796434
"10.1007/s00338-011-0819-2","study","intrcpt",-4.1233566354851,4.0124279210623,-11.9877153607672,3.74100208979701,13825.0416330593,103.597115897833
"10.1007/s00338-011-0819-2","study","dt",-7.83155984311129,1.2051040576697,-10.1935637961439,-5.46955589007868,13825.0416330593,103.597115897833
"10.1007/s00338-011-0819-2","study","dph",67.0136837357482,9.14986428511277,49.0799497369272,84.9474177345693,13825.0416330593,103.597115897833
"10.1007/s00338-011-0819-2","study","dt:dph",-5.61076231853495,3.66224930777306,-12.7887709617702,1.56724632470025,13825.0416330593,103.597115897833
"10.1007/s00338-012-0952-6","study","intrcpt",-4.1243752172216,4.02119545601612,-12.0059183110132,3.75716787657,13841.5527267343,103.875145980163
"10.1007/s00338-012-0952-6","study","dt",-7.81096354533046,1.20838452754045,-10.1793972193097,-5.44252987135119,13841.5527267343,103.875145980163
"10.1007/s00338-012-0952-6","study","dph",66.4352344810889,9.13657842504787,48.5275407679951,84.3429281941827,13841.5527267343,103.875145980163
"10.1007/s00338-012-0952-6","study","dt:dph",-5.23459670265419,3.6691743836858,-12.4261784946784,1.95698508936998,13841.5527267343,103.875145980163
"10.1007/s00338-014-1132-7","study","intrcpt",-3.91631534750326,4.0215162540717,-11.7984872054838,3.96585651047727,13848.281583181,103.394564352431
"10.1007/s00338-014-1132-7","study","dt",-7.84217444108255,1.20569351391195,-10.20533372835,-5.47901515381513,13848.281583181,103.394564352431
"10.1007/s00338-014-1132-7","study","dph",66.5355019377424,9.12979389786634,48.6411058979243,84.4298979775604,13848.281583181,103.394564352431
"10.1007/s00338-014-1132-7","study","dt:dph",-5.49269618273814,3.65883042735038,-12.6640038203449,1.6786114548686,13848.281583181,103.394564352431
"10.1007/s00338-015-1342-7","study","intrcpt",-4.03702269561611,4.02595650440307,-11.9278974442461,3.85385205301391,13838.8701150926,102.919015016668
"10.1007/s00338-015-1342-7","study","dt",-7.87827132862591,1.20707422928285,-10.2441368180203,-5.51240583923154,13838.8701150926,102.919015016668
"10.1007/s00338-015-1342-7","study","dph",65.9411530573219,9.14358405993064,48.0197282998579,83.862577814786,13838.8701150926,102.919015016668
"10.1007/s00338-015-1342-7","study","dt:dph",-5.3232717271527,3.6716883318304,-12.5197808575403,1.87323740323488,13838.8701150926,102.919015016668
"10.1007/s00338-016-1405-4","study","intrcpt",-3.72434233518283,4.0281510670124,-11.6195184265271,4.17083375616148,13843.2839029443,102.832848575295
"10.1007/s00338-016-1405-4","study","dt",-7.82082360922959,1.20759717547625,-10.187714073163,-5.45393314529613,13843.2839029443,102.832848575295
"10.1007/s00338-016-1405-4","study","dph",66.7185483281248,9.14807617803192,48.7883190191822,84.6487776370673,13843.2839029443,102.832848575295
"10.1007/s00338-016-1405-4","study","dt:dph",-5.53676113424196,3.66540027939956,-12.7209456818651,1.64742341338118,13843.2839029443,102.832848575295
"10.1007/s00338-016-1425-0","study","intrcpt",-3.67857647268967,3.98220207253735,-11.4836925348629,4.12653958948354,13427.9539537315,106.589995141067
"10.1007/s00338-016-1425-0","study","dt",-8.37843942155913,1.23409130968443,-10.7972583885406,-5.95962045457763,13427.9539537315,106.589995141067
"10.1007/s00338-016-1425-0","study","dph",68.3473330270452,9.02118875778027,50.6658030617959,86.0288629922945,13427.9539537315,106.589995141067
"10.1007/s00338-016-1425-0","study","dt:dph",-6.79460724903064,3.6190321971286,-13.8879103554027,0.298695857341424,13427.9539537315,106.589995141067
"10.1007/s00338-017-1547-z","study","intrcpt",-4.11275279951857,4.01563077981462,-11.9833891279552,3.75788352891808,13845.8432227471,103.547723520433
"10.1007/s00338-017-1547-z","study","dt",-7.8386535491829,1.2047566301217,-10.1999765442214,-5.47733055414437,13845.8432227471,103.547723520433
"10.1007/s00338-017-1547-z","study","dph",66.3876284527184,9.12459675234855,48.5034188181153,84.2718380873216,13845.8432227471,103.547723520433
"10.1007/s00338-017-1547-z","study","dt:dph",-5.41768987758667,3.65766659304738,-12.5867163999595,1.75133664478621,13845.8432227471,103.547723520433
"10.1007/s00338-017-1567-8","study","intrcpt",-4.05887696610141,4.03695837324673,-11.971315377665,3.85356144546218,13803.9863637588,102.758275525353
"10.1007/s00338-017-1567-8","study","dt",-7.82274199729464,1.20817972293688,-10.1907742542509,-5.45470974033836,13803.9863637588,102.758275525353
"10.1007/s00338-017-1567-8","study","dph",66.4201221743278,9.15114307620057,48.4838817449747,84.3563626036809,13803.9863637588,102.758275525353
"10.1007/s00338-017-1567-8","study","dt:dph",-5.45268533650416,3.6652840009928,-12.6366419784501,1.73127130544173,13803.9863637588,102.758275525353
"10.1007/s00338-017-1634-1","study","intrcpt",-4.26938896417759,4.02568589582536,-12.1597333199953,3.62095539164011,13821.0909501338,103.086077505226
"10.1007/s00338-017-1634-1","study","dt",-7.84118806406031,1.20544521477151,-10.2038606850125,-5.47851544310814,13821.0909501338,103.086077505226
"10.1007/s00338-017-1634-1","study","dph",66.0430672412346,9.13639397890542,48.13573504258,83.9503994398893,13821.0909501338,103.086077505226
"10.1007/s00338-017-1634-1","study","dt:dph",-5.32561227550292,3.65931367144616,-12.4978670715374,1.84664252053156,13821.0909501338,103.086077505226
"10.1007/s00338-018-1707-9-LOC-A","study","intrcpt",-4.07219528545629,4.01222225855352,-11.9361509122212,3.79176034130862,13813.4410661503,101.661264030509
"10.1007/s00338-018-1707-9-LOC-A","study","dt",-7.67135457938215,1.2171727229207,-10.0570131163067,-5.28569604245759,13813.4410661503,101.661264030509
"10.1007/s00338-018-1707-9-LOC-A","study","dph",66.0576678031477,9.13563392509493,48.1518253099616,83.9635102963337,13813.4410661503,101.661264030509
"10.1007/s00338-018-1707-9-LOC-A","study","dt:dph",-5.21207661027644,3.66850683884272,-12.4023500144082,1.9781967938553,13813.4410661503,101.661264030509
"10.1007/s00338-018-1707-9-LOC-B","study","intrcpt",-3.9984507855457,4.01834464258272,-11.8744062850078,3.87750471391643,13846.0301003934,102.641492477292
"10.1007/s00338-018-1707-9-LOC-B","study","dt",-7.81044191468415,1.21790205127838,-10.1975299351898,-5.42335389417854,13846.0301003934,102.641492477292
"10.1007/s00338-018-1707-9-LOC-B","study","dph",66.4074708393074,9.14020261534364,48.4926737132339,84.322267965381,13846.0301003934,102.641492477292
"10.1007/s00338-018-1707-9-LOC-B","study","dt:dph",-5.43483511449745,3.6699556590337,-12.6279482062035,1.75827797720859,13846.0301003934,102.641492477292
"10.1007/s00338-018-1707-9-LOC-C","study","intrcpt",-3.98514914183895,4.01842342843257,-11.8612590615668,3.8909607778889,13846.1635460801,102.852416036931
"10.1007/s00338-018-1707-9-LOC-C","study","dt",-7.8350675226399,1.21743069087313,-10.2212316767512,-5.44890336852857,13846.1635460801,102.852416036931
"10.1007/s00338-018-1707-9-LOC-C","study","dph",66.4708070552905,9.13962898653934,48.5571342416734,84.3844798689076,13846.1635460801,102.852416036931
"10.1007/s00338-018-1707-9-LOC-C","study","dt:dph",-5.47507460534636,3.66946440224096,-12.6672248337387,1.71707562304593,13846.1635460801,102.852416036931
"10.1007/s00338-018-1731-9","study","intrcpt",-4.11136524976709,4.02751090043912,-12.0052866146278,3.78255611509358,13843.6275595108,102.930364787289
"10.1007/s00338-018-1731-9","study","dt",-7.84421436999665,1.20659978706832,-10.2091499526506,-5.47927878734274,13843.6275595108,102.930364787289
"10.1007/s00338-018-1731-9","study","dph",66.2810662913603,9.13954142098795,48.3675651062239,84.1945674764967,13843.6275595108,102.930364787289
"10.1007/s00338-018-1731-9","study","dt:dph",-5.42826309008946,3.66237614229688,-12.6065203289913,1.74999414881243,13843.6275595108,102.930364787289
"10.1007/s00338-019-01775-y","study","intrcpt",-5.33770408470932,4.03037440233846,-13.2372379132927,2.56182974387406,12763.4918673879,98.4238187821343
"10.1007/s00338-019-01775-y","study","dt",-7.13800786228575,1.23130119862439,-9.55135821158956,-4.72465751298195,12763.4918673879,98.4238187821343
"10.1007/s00338-019-01775-y","study","dph",63.9099590711017,9.05403652940261,46.1640474734725,81.6558706687308,12763.4918673879,98.4238187821343
"10.1007/s00338-019-01775-y","study","dt:dph",-4.26977063173737,3.63675679832386,-11.3978139564521,2.85827269297739,12763.4918673879,98.4238187821343
"10.1007/s00338-019-01794-9","study","intrcpt",-4.03016012274723,4.03856853831986,-11.9457544578542,3.8854342123597,13800.8471354454,102.469740222941
"10.1007/s00338-019-01794-9","study","dt",-7.82908771408938,1.21074379910906,-10.2021455603431,-5.45602986783562,13800.8471354454,102.469740222941
"10.1007/s00338-019-01794-9","study","dph",66.5803656648408,9.18660444222731,48.5746209580752,84.5861103716063,13800.8471354454,102.469740222941
