modifications;Authors,Study,Year,Species types,subfamily,Family,Order,Location,Ocean,Climate,Life stages,Levels pCO2,dpCO2,pH,pHt,dpHt,At,DIC,Irradiance (umol photons m-2 s-1),Temperature,Salinity,Duration (days),n,Calcification (micro mol CaCO3 cm-2 h-1),Calcif SD,,,Mean ln effect,Variance,Pooled SD,inverse G,Hedges G
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Melyvonnea;Bergstrom et al,3,2020,Melyvonnea madagascariensis,,Mesophyllumaceae,Hapalidiales,Australia,Pacific,Tropical,Adult,1172,701,7.655,7.655,-0.328,2310,,65,29.8,32.5,24,4,0.85,0.02,,,0.208545,0.006492,0.079056942,-2.023857703,2.023857703
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Melyvonnea;Bergstrom et al,3,2020,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Adult,757,286,7.82,7.82,-0.163,2302,,65,29.3,32.5,24,4,0.86,0.08,,,0.220241,0.008517,0.09617692,-1.767575833,1.767575833
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Melyvonnea;Bergstrom et al,3,2020,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Adult,1149,664,7.667,7.667,-0.316,2330,,65,31.1,32.5,24,4,0.76,0.14,,,-0.05129,0.011647,0.117686023,0.339887431,-0.339887431
Bergstrom et al,3,2020,Lithothamnion proliferum,Hapalidiales,Hapalidiales,Hapalidiales,Australia,Pacific,Tropical,Adult,1149,752,7.667,7.667,-0.384,2330,,65,31.1,32.5,24,4,0.87,0.01,,,-0.8473,0.00013,0.029154759,39.78767175,-39.78767175
Bergstrom et al,3,2020,Lithothamnion proliferum,Hapalidiales,Hapalidiales,Hapalidiales,Australia,Pacific,Tropical,Adult,485,88,7.98,7.98,-0.071,2309,,65,31.3,32.5,24,4,0.94,0.03,,,-0.76991,0.000352,0.035355339,30.82985566,-30.82985566
Bergstrom et al,3,2020,Lithothamnion proliferum,Hapalidiales,Hapalidiales,Hapalidiales,Australia,Pacific,Tropical,Adult,768,371,7.814,7.814,-0.237,2303,,65,30.8,32.5,24,4,1.48,0.04,,,-0.31599,0.00028,0.04,13.75,-13.75
Bergstrom et al,3,2020,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Adult,1172,784,7.655,7.655,-0.404,2310,,65,29.8,32.5,24,4,1.43,0.01,,,0.126563,0.0000752,0.015811388,-10.75174404,10.75174404
Bergstrom et al,3,2020,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Adult,757,369,7.82,7.82,-0.239,2302,,65,29.3,32.5,24,4,1.85,0.02,,,0.384074,0.0000922,0.02,-29.5,29.5
;Bergstrom et al,3,2020,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Adult,757,369,7.82,7.82,-0.239,2302,,220,29.3,32.5,24,4,1.7,0.1,,,-0.17247,0.002066,0.121655251,2.630383797,-2.630383797
;Bergstrom et al,3,2020,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Adult,471,83,7.983,7.983,-0.076,2306,,220,29.7,32.5,24,4,1.92,0.14,,,-0.05077,0.00253,0.14,0.714285714,-0.714285714
;Bergstrom et al,3,2020,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Adult,485,88,7.98,7.98,-0.071,2309,,220,31.3,32.5,24,4,2.24,0.1,,,0.281747,0.005969,0.190394328,-2.888741523,2.888741523
;Bergstrom et al,3,2020,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Adult,768,371,7.814,7.814,-0.237,2303,,220,30.8,32.5,24,4,1.39,0.1,,,-0.19542,0.006765,0.190394328,1.575677194,-1.575677194
;Bergstrom et al,3,2020,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Adult,768,371,7.814,7.814,-0.237,2303,,65,30.8,32.5,24,4,1.02,0.04,,,-0.32379,0.000586,0.04,9.75,-9.75
;Bergstrom et al,3,2020,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Adult,485,88,7.98,7.98,-0.071,2309,,65,31.3,32.5,24,4,1.4,0.07,,,-0.00712,0.000826,0.057008771,0.175411604,-0.175411604
;Bergstrom et al,3,2020,Melyvonnea madagascariensis,,Mesophyllumaceae,Hapalidiales,Australia,Pacific,Tropical,Adult,1149,752,7.667,7.667,-0.384,2330,,65,31.1,32.5,24,4,1.28,0.07,,,-0.09673,0.000949,0.057008771,2.28035085,-2.28035085
;Bergstrom et al,3,2020,Melyvonnea madagascariensis,,Mesophyllumaceae,Hapalidiales,Australia,Pacific,Tropical,Adult,471,83,7.983,7.983,-0.076,2306,,65,29.7,32.5,24,4,1.03,0.09,,,-0.20155,0.001972,0.065192024,3.528038949,-3.528038949
;Briggs and Carpenter,4,2019,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,995.2,589.1,7.775,7.70562,-0.32868,2315.4,,26,27,36.1,28,4,0.3689,0.0142,,,-0.214157786,0.000572723,0.013613229,6.47164614,-6.47164614
;Briggs and Carpenter,4,2019,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,995.2,589.1,7.775,7.70562,-0.32868,2315.4,,413,27,36.1,28,4,0.4768,0.0286,,,-0.100862158,0.00140434,0.02626452,1.926553403,-1.926553403
;Briggs and Carpenter,4,2019,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,995.2,589.1,7.775,7.70562,-0.32868,2315.4,,67,27,36.1,28,4,0.435466667,0.078016964,,,-0.132037626,0.010480949,0.065242752,0.942122534,-0.942122534
Budenbender?;Budenbader,6,2011,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Svalbard,Atlantic,Polar,Adult,989,604,7.7,7.7,-0.36,2364.33,,6.8,9,33,7,2,28.0287,7.050566386,,,-0.116692421,0.063855058,7.537782672,0.460243658,-0.460243658
Budenbender?;Budenbader,6,2011,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Svalbard,Atlantic,Polar,Adult,883,498,7.74,7.74,-0.32,2329.59,,6.8,9,33,7,2,19.88233333,5.966074786,,,-0.460089841,0.077237579,7.054073193,1.646649108,-1.646649108
Budenbender?;Budenbader,6,2011,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Svalbard,Atlantic,Polar,Adult,1573,1188,7.52,7.52,-0.54,2429.04,,6.8,9,33,7,2,7.06105,17.10916144,,,-1.49532764,2.967762759,13.35382443,1.829952669,-1.829952669
Budenbender?;Budenbader,6,2011,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Svalbard,Atlantic,Polar,Adult,1563,1175,7.53,7.53,-0.54,2461.6,,0,6.8,33,7,2,-8.001483333,22.08525398,,,#NUM!,3.841717266,15.72005424,1.14406836,-1.14406836
Budenbender?;Budenbader,6,2011,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Svalbard,Atlantic,Polar,Adult,754,366,7.82,7.82,-0.25,2448.76,,0,6.8,33,7,2,3.164983333,10.59658701,,,-1.148769246,5.637304832,7.706147662,0.884793583,-0.884793583
Budenbender?;Budenbader,6,2011,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Svalbard,Atlantic,Polar,Adult,958,570,7.72,7.72,-0.35,2432.33,,0,6.8,33,7,2,0.8751,7.272731158,,,-2.434334149,34.56674135,5.448595499,1.671666273,-1.671666273
;Comeau et al. 2014 L & Of,8,2014,Amphiroa fragilissima,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,750,350,7.84,7.84,-0.22,2320,2105,700,27,36.1,14,24,41.21,6.51,,,0.033809513,0.001972276,6.241061608,-0.219513936,0.219513936
;Comeau et al. 2014 L & Of,8,2014,Amphiroa fragilissima,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,280,-120,8.18,8.18,0.12,2320,1895,700,27,36.1,14,24,54,9.44,,,-7.207859871,0.002205829,7.894149733,-1.793733395,1.793733395
;Comeau et al. 2014 L & Of,8,2014,Amphiroa fragilissima,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,550,150,7.95,7.95,-0.11,2320,2047,700,27,36.1,14,24,47.95,8.88,,,0.185287369,0.002361504,7.56227479,-1.072428631,1.072428631
;Comeau et al. 2014 L & Of,8,2014,Amphiroa fragilissima,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,1000,600,7.71,7.71,-0.35,2320,2169,700,27,36.1,14,24,38.65,8.06,,,-0.030324658,0.002744494,7.088201464,0.167884619,-0.167884619
;Comeau et al. 2014 L & Of,8,2014,Amphiroa fragilissima,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,2100,1700,7.44,7.44,-0.62,2320,2280,700,27,36.1,14,24,26.05,9.07,,,-0.424853665,0.005983609,7.674193769,1.796931432,-1.796931432
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al. 2014 L & Oe,8,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,280,-120,8.18,8.18,0.12,2320,1895,700,27,36.1,14,24,0.12,0.01,,,#NUM!,0.001226852,0.02236068,3.577708764,-3.577708764
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al. 2014 L & Oe,8,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,750,350,7.84,7.84,-0.22,2320,2105,700,27,36.1,14,24,0.09,0.01,,,-0.798507696,0.001451903,0.02236068,4.91934955,-4.91934955
