modifications;Authors,Study,Year,Species types,subfamily,Family,Order,Location,Ocean,Climate,Life stages,Levels pCO2,dpCO2,pH,pHt,dpHt,At,DIC,Irradiance (umol photons m-2 s-1),Temperature,Salinity,Duration (days),n,Calcification (micro mol CaCO3 cm-2 h-1),Calcif SD,,,Mean ln effect,Variance,Pooled SD,inverse G,Hedges G
;Comeau,9,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Hawaii,Pacific,Tropical,Adult,696,266,7.83,7.83,-0.18,,,700,27,35.4,14,12,1.66,0.17,,,-0.145507584,0.0016064,0.175071414,1.485108243,-1.485108243
;Comeau,9,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Hawaii,Pacific,Tropical,Adult,959,529,7.71,7.71,-0.3,,,700,27,35.4,14,12,1.25,0.18,,,-0.429181635,0.002460422,0.18,3.722222222,-3.722222222
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al.,10,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French Polynesia,Pacific,Tropical,adult,1107,702,7.67,7.67,-0.36,2318,2167,650,29.8,35.4,20,10,0.104,0.009,,,-0.191891008,0.002166124,0.012369317,1.778594584,-1.778594584
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al.,10,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French Polynesia,Pacific,Tropical,adult,711,332,7.84,7.84,-0.22,2311,2101,650,27.1,35.2,20,10,0.089,0.006,,,-0.339677368,0.002528088,0.013416408,2.683281573,-2.683281573
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al.,10,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French Polynesia,Pacific,Tropical,adult,726,321,7.83,7.83,-0.2,2315,2089,650,29.9,35.3,20,10,0.109,0.014,,,-0.144934025,0.003066926,0.014508618,1.171717379,-1.171717379
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al.,10,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French Polynesia,Pacific,Tropical,adult,711,332,7.84,7.84,-0.22,2311,2101,150,27.1,35.2,20,10,0.08,0.013,,,-0.362905494,0.003555559,0.012041595,2.906591795,-2.906591795
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al.,10,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French Polynesia,Pacific,Tropical,adult,1108,729,7.67,7.67,-0.39,2316,2182,650,27.1,35.3,20,10,0.074,0.017,,,-0.524248644,0.007351175,0.017507141,2.913096938,-2.913096938
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al.,10,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French Polynesia,Pacific,Tropical,adult,726,321,7.83,7.83,-0.2,2315,2089,150,29.9,35.3,20,10,0.065,0.015,,,-0.256429529,0.008514219,0.015,1.266666667,-1.266666667
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al.,10,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French Polynesia,Pacific,Tropical,adult,1108,729,7.67,7.67,-0.39,2316,2182,150,27.1,35.3,20,10,0.055,0.018,,,-0.737598943,0.011625678,0.014916434,4.022409139,-4.022409139
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al.,10,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French Polynesia,Pacific,Tropical,adult,1107,702,7.67,7.67,-0.36,2318,2167,150,29.8,35.4,20,10,0.045,0.019,,,-0.624154309,0.021015936,0.017117243,2.278404328,-2.278404328
;Comeau et al.,11,2016,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,French Polynesia,Pacific,Tropical,adult,969.9090909,593.8181818,7.715454545,7.71369,-0.34564,2303.454545,,650,27.36818182,35.97272727,21,10,0.26,0.17,,,-0.175890666,0.07646636,0.175071414,0.285597739,-0.285597739
;Comeau et al. ,12,2018,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Rottnest Island,Indian,Warm temperate,Adult,999.73,551.01,,7.83,-0.18,3201,3000.45,40,20.6,35.2,147,4,0.003975,0.005553602,,,-1.169420423,0.613879947,0.007528031,1.172285297,-1.172285297
;Comeau et al. ,12,2018,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Rottnest Island,Indian,Warm temperate,Adult,267.36,-181.36,,8.03,0.02,1504,1310.43,40,20.5,35.2,147,4,-0.012925,0.033467733,,,#NUM!,1.802106877,0.024521309,1.049087561,-1.049087561
;Comeau et al. ,12,2018,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Rottnest Island,Indian,Warm temperate,Adult,150.11,-298.61,,8.24,0.23,1549,1256.25,40,20.6,35.2,147,5,-0.0022,0.02168813,,,#NUM!,24.42211435,0.017439692,0.860106933,-0.860106933
;Comeau et al. ,12,2018,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Rottnest Island,Indian,Warm temperate,Adult,668.77,220.05,,8,-0.01,3356,3042.28,40,20.5,35.2,147,5,0.00214,0.044889008,,,-1.788639342,110.1258304,0.034449947,0.309434437,-0.309434437
;Comeau et al. ,12,2018,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Rottnest Island,Indian,Warm temperate,Adult,999.73,551.01,,7.83,-0.18,3201,3000.45,40,20.6,35.2,147,5,0.00876,0.012786047,,,-1.456276089,0.480140919,0.016510603,1.745545005,-1.745545005
;Comeau et al. ,12,2018,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Rottnest Island,Indian,Warm temperate,Adult,267.36,-181.36,,8.03,0.02,1504,1310.43,40,20.5,35.2,147,4,-0.0061,0.011932309,,,#NUM!,1.010655436,0.016707603,2.614378606,-2.614378606
;Comeau et al. ,12,2018,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Rottnest Island,Indian,Warm temperate,Adult,668.77,220.05,,8,-0.01,3356,3042.28,40,20.5,35.2,147,5,0.01592,0.03207962,,,-0.858895814,1.069165873,0.026559546,0.815525979,-0.815525979
;Comeau et al. ,12,2018,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Rottnest Island,Indian,Warm temperate,Adult,150.11,-298.61,,8.24,0.23,1549,1256.25,40,20.6,35.2,147,6,0.0137,0.047013275,,,-1.009076161,2.998071813,0.037384055,0.63877501,-0.63877501
;Comeau et al. ,13,2019,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,Moorea,Pacific,Tropical,Adult ,1053,697,,7.56,-0.54,2290.4,,1500,27.435,35.5,356,4,0.062,0.0018,,,-0.377109882,0.004327133,0.008300602,3.42143843,-3.42143843
;Comeau et al. ,13,2019,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,Moorea,Pacific,Tropical,Adult ,714,358,,7.66,-0.44,2290.4,,1500,27.435,35.5,356,4,0.0749,0.0032,,,-0.188090377,0.004572742,0.008508819,1.821639417,-1.821639417
;Comeau et al. ,13,2019,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,Moorea,Pacific,Tropical,Adult ,561,205,,7.88,-0.22,2290.4,,1500,27.435,35.5,356,4,0.1021,0.008,,,0.121708458,0.005651274,0.009963935,-1.174234882,1.174234882
;Comeau et al.,14,2019 Sci reports,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Rottnest Island,Indian,Warm temperate,adult,1221,794,7.63,7.63,-0.4,,,100,20.8,35.5,189,4,0.035031329,0.009168073,,,-0.905997429,0.066204309,0.033010315,1.564666903,-1.564666903
;Comeau et al.,14,2019 Sci reports,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Rottnest Island,Indian,Warm temperate,adult,1312.333333,885.3333333,7.61,7.63,-0.4,,,100,20.8,35.5,189,5,-0.015575968,0.025115976,,,#NUM!,0.558310133,0.039016346,2.676823059,-2.676823059
;Comeau et al.,14,2019 Sci reports,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Rottnest Island,Indian,Warm temperate,adult,1314,897.3333333,7.61,7.61,-0.426666667,,,50,20.8,35.5,189,3,-0.02471415,0.035206866,,,#NUM!,2.851545401,0.03107514,1.05594268,-1.05594268
;Comeau et al.,14,2019 Sci reports,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Rottnest Island,Indian,Warm temperate,adult,1251.333333,826,7.623333333,7.623333333,-0.41,,,50,20.8,35.5,189,5,-0.000887443,0.041611771,,,#NUM!,439.7874203,0.03519665,1.423291566,-1.423291566
;Cornwall et al. ,15,2013,Arthrocardia corymbosa,Corallinoideae,Corallinaceae,Corallinales,New Zealand,Pacific,Cool Temperate,Adult,647.5,229,7.665,7.665,-0.375,,,24,10.8,34.3,42,6,0.00142846,0.000307003,,,-1.025383127,0.008297628,0.000275035,9.287264656,-9.287264656
;Cornwall et al. ,15,2013,Arthrocardia corymbosa,Corallinoideae,Corallinaceae,Corallinales,New Zealand,Pacific,Cool Temperate,Adult,1685,555,7.67,7.67,-0.35,,,24,10.8,34.3,42,6,0.0000669,0.000119209,,,-3.103023659,0.537918226,0.000255357,5.571171374,-5.571171374
;Cornwall et al. ,16,2017,Amphiroa anceps,Lithophylloideae,Lithophyllaceae,Corallinales,Western Australia,Indian,Warm temperate,Adult,1201,826,7.64,7.64,-0.44,2385.88,,20,21,35.5,56,10,4.5456075,5.816265139,,,-0.555200439,0.266977703,6.7334597,0.501103433,-0.501103433
;Cornwall et al. ,16,2017,Amphiroa anceps,Lithophylloideae,Lithophyllaceae,Corallinales,Western Australia,Indian,Warm temperate,Adult,770,395,7.81,7.81,-0.27,2204.43,,20,21,35.5,56,8,5.868887273,8.226128686,,,-0.299696766,0.348834661,7.916207184,0.259073563,-0.259073563
;Cornwall et al. ,16,2017,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Western Australia,Indian,Warm temperate,Adult,1201,826,7.64,7.64,-0.44,2385.88,,150,21,35.5,56,12,0.090731667,0.085843575,,,-0.463814768,0.149153419,0.114000601,0.469675888,-0.469675888
;Cornwall et al. ,16,2017,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Western Australia,Indian,Warm temperate,Adult,770,395,7.81,7.81,-0.27,2204.43,,150,21,35.5,56,16,0.1269975,0.139084073,,,-0.127553799,0.149519813,0.137982774,0.125214906,-0.125214906
;Cornwall et al. ,16,2017,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Western Australia,Indian,Warm temperate,Adult,1201,826,7.64,7.64,-0.44,2385.88,,40,21,35.5,56,12,-0.060525833,0.07513486,,,#NUM!,0.185489492,0.085131835,2.046218465,-2.046218465
;Cornwall et al. ,16,2017,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Western Australia,Indian,Warm temperate,Adult,770,395,7.81,7.81,-0.27,2204.43,,40,21,35.5,56,12,0.016573333,0.091314493,,,-1.925526529,2.586828122,0.09270369,1.047414259,-1.047414259
;Cornwall,17,2014,Arthrocardia corymbosa,Corallinoideae,Corallinaceae,Corallinales,New Zealand,Pacific,Cool Temperate,Adult,999.26,633.02,7.65,7.65,-0.4,2120.51,,20,10.53,35,42,6,-0.0014,0.002569695,,,#NUM!,0.641333096,0.113161311,1.287321602,-1.287321602
;Cornwall,17,2014,Arthrocardia corymbosa,Corallinoideae,Corallinaceae,Corallinales,New Zealand,Pacific,Cool Temperate,Adult,980.09,611.73,7.65,7.65,-0.4,2120.51,,20,10.53,35,42,6,0.002816667,0.001002358,,,-0.635292388,0.07974918,0.001255101,-0.557724171,0.557724171
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Cornwall et al. ,19,2018,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,Western Australia,Indian,Tropical,Adult,1095,710,7.68,7.68,-0.38,,,150,26.5,35.5,100,6,0.1748982,0.02927177,,,0.195202378,0.028195756,0.043469863,-0.713483298,0.713483298
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Cornwall et al. ,19,2018,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,Western Australia,Indian,Tropical,Adult,1454,897,7.67,7.67,-0.32,,,150,26.5,35.5,100,6,0.092579652,0.056985595,,,0.054683147,0.113470715,0.052759975,-0.093377939,0.093377939
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Cornwall et al. ,19,2018,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,Western Australia,Indian,Tropical,Adult,1454,1069,7.67,7.67,-0.39,,,150,26.5,35.5,100,6,0.124826839,0.100415456,,,-0.866204245,0.141426973,0.117963711,1.458032239,-1.458032239
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Cornwall et al. ,19,2018,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,Western Australia,Indian,Tropical,Adult,1095,710,7.68,7.68,-0.38,,,150,26.5,35.5,100,6,0.048388478,0.07609367,,,-0.670226252,0.42311721,0.056473867,0.817997616,-0.817997616
;Egilsdottr,21,2012,Corallina elongata,Corallinoideae,Corallinaceae,Corallinales,Northern france,Atlantic,Cool Temperate,Adult,550,170,7.94,7.94,-0.16,2375.68,,30,18.5,35,21,3,0.6397,1.3267,,,-0.639316587,1.644519958,1.159639015,0.493817466,-0.493817466
;Egilsdottir,21,2012,Corallina elongata,Corallinoideae,Corallinaceae,Corallinales,Northern france,Atlantic,Cool Temperate,Adult,750,370,7.81,7.81,-0.29,2307.67,,30,18.4,35,21,3,0.5493,1.8373,,,-0.791671163,3.94001086,1.467150928,0.451930328,-0.451930328
;Egilsdottir,21,2012,Corallina elongata,Corallinoideae,Corallinaceae,Corallinales,Northern france,Atlantic,Cool Temperate,Adult,1000,620,7.71,7.71,-0.39,2382.66,,30,18.4,35,21,3,0.4358,1.5894,,,-1.023132481,4.644521317,1.314455165,0.590777092,-0.590777092
Fine et al.,22,2016,Neogoniolithon brassica-florida ,Neogoniolithoideae,Corallinaceae,Corallinales,Med sea,Atlantic,Warm temperate,adult,668,281,7.9 NBS,7.9,-0.2,2578.42,,400,25,35,7,4,-0.0215,0.010511898,,,#NUM!,0.061144475,0.013028814,17.26941502,-17.26941502
C sessilis=currently regarded as synonym of C pilulifera;Gao and Zheng,24,2010,Corallina pilulifera,Corallinoideae,Corallinaceae,Corallinales,China,Pacific,Warm temperate,adult,1498.44,1070.46,7.54,7.54726,-0.51675,2318,,295,24.3,34,31,6,0.5425,0.0287663,,,-0.182833459,0.006178448,0.087639508,1.241829581,-1.241829581
C sessilis=currently regarded as synonym of C pilulifera;Gao and Zheng,24,2010,Corallina pilulifera,Corallinoideae,Corallinaceae,Corallinales,China,Pacific,Warm temperate,adult,1312.94,929.61,7.59,7.59904,-0.46497,2312,,395,24.3,34,31,6,0.582666667,0.061960202,,,-0.153987214,0.009448691,0.095846057,0.716426619,-0.716426619
;Graba-Landry,25,2018,Amphiroa anceps,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1098.29,594.54,7.8,7.67,-0.3,,,30,26,,14,5,377.3909,83,,,-1.263153483,0.014438473,157.0429877,6.095613142,-6.095613142
;Graba-Landry,25,2018,Amphiroa anceps,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1040.66,554.97,7.8,7.65,-0.33,,,30,23,,14,5,2755.2683,357,,,0.636941973,0.016320235,364.0673015,-3.565238061,3.565238061
;Graba-Landry,25,2018,Amphiroa anceps,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1825.87,1295.13,7.6,7.47,-0.48,,,30,28,,14,5,-1747.6288,467,,,#NUM!,0.01701935,344.1351479,8.480676322,-8.480676322
;Graba-Landry,25,2018,Amphiroa anceps,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1719.8,1216.05,7.6,7.5,-0.47,,,30,26,,14,5,-1019.9324,302,,,#NUM!,0.022299345,258.4956479,9.108844264,-9.108844264
;Graba-Landry,25,2018,Amphiroa anceps,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1134.59,603.85,7.8,7.66,-0.29,,,30,28,,14,5,-1106.6071,701,,,#NUM!,0.082994427,505.0594024,4.509325218,-4.509325218
;Graba-Landry,25,2018,Amphiroa anceps,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1701.46,1215.77,7.6,7.5,-0.48,,,30,23,,14,5,312.9234,495,,,-1.538369698,0.513416731,437.4162777,2.61617676,-2.61617676
;Graba-Landry,25,2018,Corallina officinalis,Corallinoideae,Corallinaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1040.66,554.97,7.8,7.65,-0.33,,,30,23,,14,5,1640.9918,302,,,-0.485446059,0.007955927,258.0978497,3.973125702,-3.973125702
;Graba-Landry,25,2018,Corallina officinalis,Corallinoideae,Corallinaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1098.29,594.54,7.8,7.67,-0.3,,,30,26,,14,5,799.8188,241,,,-0.851042832,0.018683808,183.4352747,5.851803596,-5.851803596
;Graba-Landry,25,2018,Corallina officinalis,Corallinoideae,Corallinaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1701.46,1215.77,7.6,7.5,-0.48,,,30,23,,14,5,939.5337,338,,,-1.043118465,0.027066582,279.5254908,6.178017236,-6.178017236
;Graba-Landry,25,2018,Corallina officinalis,Corallinoideae,Corallinaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1134.59,603.85,7.8,7.66,-0.29,,,30,28,,14,5,666.4744,327,,,#NUM!,0.85780317,287.2368361,-2.737300726,2.737300726
;Graba-Landry,25,2018,Corallina officinalis,Corallinoideae,Corallinaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1825.87,1295.13,7.6,7.47,-0.48,,,30,28,,14,5,-502.8695,363,,,1.434680645,0.913872935,308.0990101,1.24339997,-1.24339997
;Graba-Landry,25,2018,Corallina officinalis,Corallinoideae,Corallinaceae,Corallinales,Australia,Pacific,Warm temperate,Adult,1719.8,1216.05,7.6,7.5,-0.47,,,30,26,,14,5,-129.802,435,,,#NUM!,2.246711401,314.9928571,6.359026737,-6.359026737
;Hofmann ,27,2012a,Corallina officinalis,Corallinoideae,Corallinaceae,Corallinales,Germany,Atlantic,Cool Temperate,Adult,1380,1009,7.73,7.62,-0.52,,,146,12.3,,74,4,0.37,0,,,-0.396415273,0.001322314,0.028284271,6.363961031,-6.363961031
;Hofmann ,27,2012a,Corallina officinalis,Corallinoideae,Corallinaceae,Corallinales,Germany,Atlantic,Cool Temperate,Adult,602,231,8.05,7.94,-0.2,,,146,12.3,,74,4,0.43,0.03,,,-0.24613307,0.002539188,0.035355339,3.39411255,-3.39411255
;Hofmann ,27,2012a,Corallina officinalis,Corallinoideae,Corallinaceae,Corallinales,Germany,Atlantic,Cool Temperate,Adult,602,231,8.05,7.94,-0.2,,,146,12.3,,0.08,4,120,5,,,0.567984038,0.031575896,17.33493582,-2.999722672,2.999722672
;Hofmann ,27,2012a,Corallina officinalis,Corallinoideae,Corallinaceae,Corallinales,Germany,Atlantic,Cool Temperate,Adult,1380,1009,7.73,7.62,-0.52,,,146,12.3,,0.08,4,70,19,,,0.028987537,0.049560236,21.64486082,-0.092400687,0.092400687
;Johnson and Carpenter,29,2012,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,472,117,7.96,7.96,-0.1,2172,,600,28.89,35,14,3,0.242303191,0.02096214,,,-0.098915148,0.004659089,0.021260384,1.184969072,-1.184969072
;Johnson and Carpenter,29,2012,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,715,360,7.81,7.81,-0.25,2179,,600,28.69,35,14,3,0.226051761,0.024402452,,,-0.168340942,0.006048765,0.023022557,1.800161837,-1.800161837
;Johnson and Carpenter,29,2012,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,488,75,7.95,7.95,-0.06,2168,,600,25.83,34.9,14,3,0.271445525,0.023392458,,,0.112339519,0.006621247,0.025290387,-1.140496349,1.140496349
;Johnson and Carpenter,29,2012,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,818,405,7.76,7.76,-0.25,2185,,600,25.85,34.9,14,3,0.206785411,0.018176382,,,-0.159740362,0.006721189,0.023047572,1.554025765,-1.554025765
;Johnson et al.,30,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,418,80.03,8.027,8.02699,-0.0746,2329,,600,28.79,35.5,14,6,0.498134054,0.3552,,,-0.345414725,0.093576248,0.276052006,0.744490044,-0.744490044
;Johnson et al.,30,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,557.52,219.55,7.923,7.9237,-0.17789,2316,,600,27.225,35.5,14,6,0.225964818,0.243845,,,-1.135904637,0.202919835,0.207005754,2.307603522,-2.307603522
;Johnson et al. ,31,2014,Lithophyllum prototypum,Lithophylloideae,Lithophyllaceae,Corallinales,Palmyra,Pacific,Tropical,Adult,1092.6,718.6,7.69,7.69,-0.37,2236,,150,29.41,34.8,14,5,-0.24,0.244,,,#NUM!,0.269926798,0.257328584,1.966357537,-1.966357537
;Johnson et al. ,31,2014,Lithophyllum sp.  ,Lithophylloideae,Lithophyllaceae,Corallinales,Palmyra,Pacific,Tropical,Adult,808.7,465,7.88,7.88,-0.22,2514,,868,29.21,34.8,14,4,-0.196,0.216898594,,,#NUM!,1.532603844,0.194839678,2.176148129,-2.176148129
;Johnson et al. ,31,2014,Lithophyllum sp.  ,Lithophylloideae,Lithophyllaceae,Corallinales,Palmyra,Pacific,Tropical,Adult,1010.7,647.7,7.81,7.81,-0.25,1735,,150,28.87,35.1,14,6,-0.165,0.162,,,-3.996123702,94.65827719,0.123693169,2.90234298,-2.90234298
"L congestum =currently regarded as synonym of L kaiseri;""Johnson",32,2019,Lithophyllum kaiseri,Lithophylloideae,Lithophyllaceae,Corallinales," Carribean""""",Atlantic,Tropical,Adult,1241,323,7.58,7.58,-0.12,2037.87,,282,28.8,32.2,112,6,0.611896944,0.052010365,,,-0.583503153,0.002096029,0.067607602,7.170935046,-7.170935046
"L congestum =currently regarded as synonym of L kaiseri;""Johnson",32,2019,Lithophyllum kaiseri,Lithophylloideae,Lithophyllaceae,Corallinales," Carribean""""",Atlantic,Tropical,Adult,815,429,7.76,7.76,-0.28,2125.74,,282,28.9,32.2,112,6,1.128662833,0.100904901,,,-0.310759604,0.00308352,0.132483946,3.104933008,-3.104933008
Hydrolithon samoense =currently regarded as Harveylithon samoense;Kato,34,2013,Harveylithon samoense,Metagoniolithoideae,Lithophyllaceae,Corallinales,Okinawa,Pacific,Tropical,Adult,400.797,134.57,8.04,8.04,-0.14,2279,,50,27.3,34.1,56,20,3.83,1.207476708,,,-0.108749024,0.027434583,2.196588264,0.20031064,-0.20031064
Hydrolithon samoense =currently regarded as Harveylithon samoense;Kato,34,2013,Harveylithon samoense,Metagoniolithoideae,Lithophyllaceae,Corallinales,Okinawa,Pacific,Tropical,Adult,980.623,714.396,7.71,7.71,-0.47,2279,,50,27.2,34.1,56,20,1.97,2.101903899,,,-0.773580284,0.079384672,2.510975906,0.915978522,-0.915978522
;Kato,34,2013,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,Okinawa,Pacific,Tropical,Adult,400.797,134.57,8.04,8.04,-0.14,2279,,50,27.3,34.1,56,20,14.59,4.248529157,,,-0.051430365,0.011076076,5.015376357,0.15352786,-0.15352786
;Kato,34,2013,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,Okinawa,Pacific,Tropical,Adult,980.623,714.396,7.71,7.71,-0.47,2279,,50,27.2,34.1,56,20,6.59,2.817445652,,,-0.846213379,0.015975605,4.483079299,1.956244674,-1.956244674
;Kamenos et al,35,2013,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Scotland,Atlantic,Cool Temperate,Adult,1081,583,7.7,7.75732,-0.30396,2964,2850,90,11.51,35,80,8,0.213,0.2401,,,0.54910781,0.313001415,0.195329939,-0.46075886,0.46075886
;Kram et al,36,2015,Corallina vancouveriensis,Corallinoideae,Corallinaceae,Corallinales,California,Pacific,Cool Temperate,Adult,650,214,,7.8,-0.2,2227,2095,8,15,34,31,10,-1.041513876,0.148802222,,,1.653062492,0.003177597,0.106287301,7.92289249,-7.92289249
;Kram et al,36,2015,Corallina vancouveriensis,Corallinoideae,Corallinaceae,Corallinales,California,Pacific,Cool Temperate,Adult,817,351,,7.7,,2222,2114,8,17,34,31,10,-0.994356116,0.127544762,,,0.695859817,0.006240386,0.117398162,4.246445477,-4.246445477
;Kram et al,36,2015,Jania adhaerens,Corallinoideae,Corallinaceae,Corallinales,California,Pacific,Cool Temperate,Adult,731,287,,7.8,-0.2,2235,2090,4,20,34,27,10,0.281481049,0.547317287,,,-1.097562663,0.396786477,0.465130255,1.20842755,-1.20842755
;Kram et al,36,2015,Lithothamnion californicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,California,Pacific,Cool Temperate,Adult,900,500,,7.8,-0.2,2235,2090,4,20,34,27,10,-0.001597231,0.042917373,,,#NUM!,72.36322413,0.030636639,0.203450154,-0.203450154
Lithothamnion corallioides?? ->>>;Legrand,38,2019,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,948,522,7.73,7.73,-0.33,2385.48,,95,17.1,35,90,5,0.406275,0.634028302,,,-0.284446272,0.816576893,0.664190597,0.201260001,-0.201260001
Lithothamnion corallioides?? ->>>;Legrand,38,2019,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,1087,574,7.65,7.65,-0.33,2277.85,,35,13,35,90,5,0.22405,0.500127154,,,-0.439255071,1.154559874,0.41569016,0.297276703,-0.297276703
Lithothamnion corallioides?? ->>>;Legrand,38,2019,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,1183,703,7.65,7.65,-0.33,2511.5,,35,10,35,90,5,0.14035,0.396703428,,,-0.692345292,1.817029765,0.348985886,0.401520536,-0.401520536
Lithothamnion corallioides?? ->>>;Legrand,38,2019,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,879,447,7.73,7.73,-0.33,2196.32,,95,20.1,35,90,5,0.358325,0.955340205,,,-0.420445711,1.900652394,0.901560993,0.207723051,-0.207723051
