modifications;Authors,Study,Year,Species types,subfamily,Family,Order,Location,Ocean,Climate,Life stages,Levels pCO2,dpCO2,pH,pHt,dpHt,At,DIC,Irradiance (umol photons m-2 s-1),Temperature,Salinity,Duration (days),n,Calcification (micro mol CaCO3 cm-2 h-1),Calcif SD,Mean ln effect,Variance,Pooled SD,inverse G,Hedges G
;Doropolous,20,2012,Hydrolithon farinosum,Hydrolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,797,397,7.8,7.8,-0.25,2365,,406,26,35.4,60,3,3.86,1.922576396,-0.389798991,0.089206268,1.471580783,1.250356094,-1.250356094
;Doropolous,20,2012,Unknown CCA,,,,Australia,Pacific,Tropical,Juvenile,797,397,7.8,7.8,-0.25,2365,,406,26,35.4,60,3,0.75,0.398371686,-0.373859769,0.094128612,0.281957444,1.205855734,-1.205855734
;Doropolous,20,2012,Unknown CCA,,,,Australia,Pacific,Tropical,Juvenile,1301,901,7.61,7.61,-0.44,2363,,406,26,35.4,60,3,0.83,0.398371686,-0.272507274,0.076873252,0.281957444,0.922124973,-0.922124973
;Doropolous,20,2012,Sporolithon spp.,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Juvenile,1301,901,7.61,7.61,-0.44,2363,,406,26,35.4,60,3,0.14,0.138564065,-0.251314428,0.403691106,0.1155422,0.346193858,-0.346193858
;Doropolous,20,2012,Neogoniolithon spp.,Neogoniolithoideae,Corallinaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,797,397,7.8,7.8,-0.25,2365,,406,26,35.4,60,3,0.26,0.08660254,-0.143100844,0.064760026,0.08660254,0.461880215,-0.461880215
;Doropolous,20,2012,Lithophyllum spp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,797,397,7.8,7.8,-0.25,2365,,406,26,35.4,60,3,1.74,1.489563695,-0.066691374,0.254720635,1.078679749,0.111247106,-0.111247106
;Doropolous,20,2012,Neogoniolithon spp.,Neogoniolithoideae,Corallinaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1301,901,7.61,7.61,-0.44,2363,,406,26,35.4,60,3,0.45,0.398371686,0.405465108,0.289012346,0.288270706,-0.520344235,0.520344235
;Doropolous,20,2012,Sporolithon spp.,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Juvenile,797,397,7.8,7.8,-0.25,2365,,406,26,35.4,60,3,0.8,2.390230114,1.491654877,3.052785494,1.691256929,-0.366591255,0.366591255
maybe Ordo?ez?;Orondez ,42,2014,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1267,878,7.6,7.6,-0.44,2290,,143,27.1,35,75,4,31,22.19609575,-3.298461853,0.214928988,418.0838604,1.933104998,-1.933104998
maybe Ordo?ez?;Orondez ,42,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1267,878,7.6,7.6,-0.44,2290,,143,27.1,35,75,4,409.5,328.563033,-2.443906577,0.181770713,1170.535299,3.67959856,-3.67959856
